,Common Name,Order,Family,Genus,Binomial,Pri Head Col,Sec Head Col,Head Pattern,Num Head Cols,Chest Bib,Sec Body Col,Rump Patch,Pri Rump Col,Pri Tail Col,Sec Tail Col,Tail Pattern,Num Tail Cols,Countershaded,Activity Cycle,Social Group Size,Dimorphism Magnitude,Mating System,Species Overlap,Head Dichromatism,Body Dichromatism
1,Fynbos Golden Mole,Afrosoricida,Chrysochloridae,Amblysomus,Amblysomus corriae,B3,G1,1,2,0,NA,0,B5,NA,NA,NA,NA,0,1,1,1.85,NA,0,0,0
2,Zulu Golden Mole,Afrosoricida,Chrysochloridae,Amblysomus,Amblysomus hottentotus,F4,G3,1,2,0,F4,0,F4,NA,NA,NA,NA,1,4,1,25.77,NA,1,0,0
3,Marley's Golden Mole,Afrosoricida,Chrysochloridae,Amblysomus,Amblysomus marleyi,B1,F5,1,2,0,F5,0,F5,NA,NA,NA,NA,1,1,1,0,NA,1,0,0
4,Robust Golden Mole,Afrosoricida,Chrysochloridae,Amblysomus,Amblysomus robustus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,1,26.87,NA,1,0,0
5,Highveld Golden Mole,Afrosoricida,Chrysochloridae,Amblysomus,Amblysomus septentrionalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,0,0
6,Congo Golden Mole ,Afrosoricida,Chrysochloridae,Huetia,Huetia leucorhina,A1,B5,1,2,0,NA,0,B5,NA,NA,NA,NA,0,NA,1,NA,NA,0,0,0
7,Yellow Golden Mole,Afrosoricida,Chrysochloridae,Calcochloris,Calcochloris obtusirostris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,11.54,NA,0,0,0
8,Somali Golden Mole,Afrosoricida,Chrysochloridae,Calcochloris,Calcochloris tytonis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,0,0
9,Arend's Golden Mole,Afrosoricida,Chrysochloridae,Carpitalpa,Carpitalpa arendsi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,14.14,NA,0,0,0
10,Duthie's Golden Mole,Afrosoricida,Chrysochloridae,Chlorotalpa,Chlorotalpa duthieae,F4,NA,0,1,0,NA,0,F5,NA,NA,NA,NA,0,1,1,42.55,NA,0,0,0
11,Sclater's Golden Mole,Afrosoricida,Chrysochloridae,Chlorotalpa,Chlorotalpa sclateri,F2,F4,1,2,0,NA,0,F2,NA,NA,NA,NA,0,4,1,8.57,NA,0,0,0
12,Cape Golden Mole,Afrosoricida,Chrysochloridae,Chrysochloris,Chrysochloris asiatica,B5,A1,1,2,0,NA,0,B5,NA,NA,NA,NA,0,1,1,NA,NA,0,0,0
13,Stuhlmann's Golden Mole,Afrosoricida,Chrysochloridae,Chrysochloris,Chrysochloris stuhlmanni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,0,0,0
14,Visagie's Golden Mole,Afrosoricida,Chrysochloridae,Chrysochloris,Chrysochloris visagiei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,0,0,0
15,Giant Golden Mole,Afrosoricida,Chrysochloridae,Chrysospalax,Chrysospalax trevelyani,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3.3,2,0,0,0
16,Rough-Haired Golden Mole,Afrosoricida,Chrysochloridae,Chrysospalax,Chrysospalax villosus,F4,F1,1,2,0,F2,0,F3,NA,NA,NA,NA,0,1,1,35.35,NA,0,0,0
17,De Winton's Golden Mole,Afrosoricida,Chrysochloridae,Cryptochloris,Cryptochloris wintoni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,0,0,0
18,Van Zyl's Golden Mole,Afrosoricida,Chrysochloridae,Cryptochloris,Cryptochloris zyli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,0,0,0
19,Grant's Golden Mole,Afrosoricida,Chrysochloridae,Eremitalpa,Eremitalpa granti,G1,G2,1,2,0,B4,0,B4,NA,NA,NA,NA,1,1,1,23.68,2,0,0,0
20,Gunning's Golden Mole,Afrosoricida,Chrysochloridae,Neamblysomus,Neamblysomus gunningi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,23.14,NA,0,0,0
21,Juliana's Golden Mole ,Afrosoricida,Chrysochloridae,Neamblysomus,Neamblysomus julianae,G2,G3,1,2,0,NA,0,F3,NA,NA,NA,NA,0,4,1,28.85,4,0,0,0
22,Lesser Hedgehog Tenrec,Afrosoricida,Tenrecidae,Echinops,Echinops telfairi,E1,G1,3,3,0,E1,0,E4,NA,NA,NA,NA,3,1,1,0,NA,0,0,0
23,Large-Eared Tenrec,Afrosoricida,Tenrecidae,Geogale,Geogale aurita,C3,G1,1,2,0,G1,0,C3,C3,NA,0,1,2,1,1,0,1,0,0,0
24,Highland Streaked Tenrec,Afrosoricida,Tenrecidae,Hemicentetes,Hemicentetes nigriceps,C5,G1,1,2,0,G1,0,C5,NA,NA,NA,NA,0,1,3,0,NA,1,0,0
25,Lowland Streaked Tenrec,Afrosoricida,Tenrecidae,Hemicentetes,Hemicentetes semispinosus,C5,G2,2,2,0,G2,0,C5,NA,NA,NA,NA,0,4,3,0,NA,1,0,0
26,Web-Footed Tenrec,Afrosoricida,Tenrecidae,Limnogale,Limnogale mergulus,F4,C5,1,2,0,A1,0,F4,C5,C2,1,2,2,1,1,0,NA,0,0,0
27,Short-Tailed Shrew Tenrec,Afrosoricida,Tenrecidae,Microgale,Microgale brevicaudata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,4,1,0,0
28,Cowan's Shrew Tenrec,Afrosoricida,Tenrecidae,Microgale,Microgale cowani,F4,NA,0,1,0,C3,0,F4,F4,NA,0,1,2,NA,1,0,NA,1,0,0
29,Dobson's Shrew Tenrec,Afrosoricida,Tenrecidae,Microgale,Microgale dobsoni,F2,NA,0,1,0,NA,0,F2,E2,NA,0,1,0,1,1,0,NA,1,0,0
30,Drouhard's Shrew Tenrec,Afrosoricida,Tenrecidae,Microgale,Microgale drouhardi,F3,F4,2,2,0,C5,0,F3,E3,1,1,2,3,NA,NA,0,NA,1,0,0
31,Dryad Shrew Tenrec,Afrosoricida,Tenrecidae,Microgale,Microgale dryas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,0,NA,1,0,0
32,Pale Shrew Tenrec,Afrosoricida,Tenrecidae,Microgale,Microgale fotsifotsy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,0,0
33,Gracile Shrew Tenrec,Afrosoricida,Tenrecidae,Microgale,Microgale gracilis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,1,0,0
34,Grandidier's Shrew Tenrec,Afrosoricida,Tenrecidae,Microgale,Microgale grandidieri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,0,0
35,Naked-Nosed Shrew Tenrec ,Afrosoricida,Tenrecidae,Microgale,Microgale gymnorhyncha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,0,0
36,Jenkins' Shrew Tenrec,Afrosoricida,Tenrecidae,Microgale,Microgale jenkinsae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
37,Northern Shrew Tenrec,Afrosoricida,Tenrecidae,Microgale,Microgale jobihely,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,0,0
38,Lesser Long-Tailed Shrew Tenrec,Afrosoricida,Tenrecidae,Microgale,Microgale longicaudata,F3,G1,1,2,0,G1,0,F3,C2,NA,0,1,3,1,1,0,2,1,0,0
39,Major's Long-Tailed Shrew Tenrec,Afrosoricida,Tenrecidae,Microgale,Microgale majori,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,0,0
40,Montane Shrew Tenrec,Afrosoricida,Tenrecidae,Microgale,Microgale monticola,F4,NA,0,1,0,C3,0,F4,C4,NA,0,1,3,NA,NA,0,NA,1,0,0
41,Nasolo's Shrew Tenrec,Afrosoricida,Tenrecidae,Microgale,Microgale nasoloi,C1,NA,0,1,0,A1,0,C1,E2,NA,0,1,3,NA,NA,0,NA,1,0,0
42,Pygmy Shrew Tenrec ,Afrosoricida,Tenrecidae,Microgale,Microgale parvula,F5,NA,0,1,0,NA,0,F5,C4,NA,0,1,0,NA,NA,0,NA,1,0,0
43,Greater Long-Tailed Shrew Tenrec ,Afrosoricida,Tenrecidae,Microgale,Microgale principula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,0,0
44,Least Shrew Tenrec,Afrosoricida,Tenrecidae,Microgale,Microgale pusilla,F2,D1,1,2,0,D1,0,F2,C4,C1,"1, 2",3,3,NA,NA,0,NA,1,0,0
45,Shrew-Toothed Shrew Tenrec,Afrosoricida,Tenrecidae,Microgale,Microgale soricoides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,0,0
46,Taiva Shrew Tenrec,Afrosoricida,Tenrecidae,Microgale,Microgale taiva,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,0,0
47,Talazac's Shrew Tenrec,Afrosoricida,Tenrecidae,Microgale,Microgale talazaci,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,0,1,1,0,0
48,Thomas' Shrew Tenrec,Afrosoricida,Tenrecidae,Microgale,Microgale thomasi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,0,0
49,Nimba Otter Shrew,Afrosoricida,Tenrecidae,Micropotamogale,Micropotamogale lamottei,E4,NA,0,1,0,NA,0,E4,E3,NA,0,1,0,1,1,0,NA,0,0,0
50,Rwenzori Otter Shrew,Afrosoricida,Tenrecidae,Micropotamogale,Micropotamogale ruwenzorii,B5,NA,0,1,0,NA,0,B5,B5,C4,1,2,0,1,NA,0,NA,0,0,0
51,Mole-Like Rice Tenrec,Afrosoricida,Tenrecidae,Oryzorictes,Oryzorictes hova,E3,D2,1,2,0,D2,0,E3,1,NA,0,1,2,1,1,0,NA,0,0,0
52,Four-Toed Rice Tenrec,Afrosoricida,Tenrecidae,Oryzorictes,Oryzorictes tetradactylus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,0,0,0
53,Giant Otter Shrew,Afrosoricida,Tenrecidae,Potamogale,Potamogale velox,E3,F1,1,2,0,F1,0,E3,E4,NA,0,1,3,1,1,0,NA,0,0,0
54,Greater Hedgehog Tenrec,Afrosoricida,Tenrecidae,Setifer,Setifer setosus,E2,D4,3,3,0,F1,0,D4,NA,NA,NA,NA,0,1,1,0,4,0,0,0
55,Tailless Tenrec,Afrosoricida,Tenrecidae,Tenrec,Tenrec ecaudatus,F2,F1,3,3,0,E1,0,E1,NA,NA,NA,NA,0,1,1,NA,4,0,0,0
56,Pronghorn,Cetartiodactyla,Antilocapridae,Antilocapra,Antilocapra americana,A1,C5,3,3,0,A1,2,A1,A1,NA,0,1,1,4,3,0,2,0,1,0
57,Addax,Cetartiodactyla,Bovidae,Addax,Addax nasomaculatus,E2,A1,3,3,0,A1,3,A1,A1,NA,0,1,3,2,3,50,2,0,0,0
58,Impala,Cetartiodactyla,Bovidae,Aepyceros,Aepyceros melampus,G2,NA,0,1,0,G3,2,G1,G1,C5,1,2,1,3,4,35,2,0,0,0
59,Hartebeest,Cetartiodactyla,Bovidae,Alcelaphus,Alcelaphus buselaphus,G3,G1,1,2,0,NA,3,A1,A1,NA,0,1,3,3,5,0,NA,0,0,0
60,Dibatag,Cetartiodactyla,Bovidae,Ammodorcas,Ammodorcas clarkei,G1,G2,1,2,0,D2,1,A1,C5,C4,2,2,1,3,1,0,2,0,0,0
61,Aoudad,Cetartiodactyla,Bovidae,Ammotragus,Ammotragus lervia,E1,NA,0,1,0,NA,0,E1,E1,NA,0,1,0,3,3,98.55,2,0,0,0
62,Springbok,Cetartiodactyla,Bovidae,Antidorcas,Antidorcas marsupialis,A1,G1,3,3,0,G4,2,A1,A1,NA,0,1,1,2,2,17.74,2,0,0,0
63,Blackbuck,Cetartiodactyla,Bovidae,Antilope,Antilope cervicapra,C5,A1,3,2,0,A1,1,A1,F3,A1,1,2,1,3,4,0,2,0,1,1
64,Arabian Tahr,Cetartiodactyla,Bovidae,Arabitragus,Arabitragus jayakari,E1,E4,2,2,0,E4,0,E1,E4,NA,0,1,0,13,3,124.32,1,0,0,1
65,Hirola,Cetartiodactyla,Bovidae,Beatragus,Beatragus hunteri,G2,A1,3,2,0,NA,0,G2,G2,A1,2,2,0,2,3,0,2,0,0,0
66,American Bison,Cetartiodactyla,Bovidae,Bison,Bison bison,E4,NA,0,1,0,NA,0,E3,E3,NA,0,1,0,3,4,59.52,2,0,0,0
67,Wisent,Cetartiodactyla,Bovidae,Bison,Bison bonasus,E4,NA,0,1,0,NA,0,E3,E3,NA,0,1,0,4,3,0,2,0,0,0
68,Gaur,Cetartiodactyla,Bovidae,Bos,Bos gaurus,E5,E3,1,2,0,NA,0,E5,E5,NA,0,1,0,1,3,75,2,1,1,1
69,Banteng,Cetartiodactyla,Bovidae,Bos,Bos javanicus,E5,A1,3,2,0,NA,2,A1,E5,NA,0,1,0,4,3,NA,2,1,1,1
70,Yak,Cetartiodactyla,Bovidae,Bos,Bos mutus,E5,NA,0,1,0,NA,0,E5,E5,NA,0,1,0,NA,3,236.15,2,1,0,0
71,Kouprey,Cetartiodactyla,Bovidae,Bos,Bos sauveli,E4,A1,3,2,0,NA,0,E4,E4,NA,0,1,0,4,3,NA,2,1,0,1
72,Nilgai,Cetartiodactyla,Bovidae,Boselaphus,Boselaphus tragocamelus,C3,NA,0,1,1,NA,1,A1,C3,NA,0,1,0,2,2,46.99,4,0,1,1
73,Wild Water Buffalo,Cetartiodactyla,Bovidae,Bubalus,Bubalus arnee,C4,NA,0,1,0,NA,0,C4,C4,NA,0,1,0,4,3,NA,2,0,0,0
74,Lowland Anoa,Cetartiodactyla,Bovidae,Bubalus,Bubalus depressicornis,E5,A1,3,2,0,NA,0,E5,E5,NA,0,1,0,1,1,0,2,1,0,1
75,Tamaraw,Cetartiodactyla,Bovidae,Bubalus,Bubalus mindorensis,C5,NA,0,1,0,NA,0,C5,C5,NA,0,1,0,4,2,0,2,0,0,0
76,Mountain Anoa,Cetartiodactyla,Bovidae,Bubalus,Bubalus quarlesi,E5,A1,3,2,0,NA,0,E5,E5,NA,0,1,0,3,1,NA,1,1,0,0
77,Takin,Cetartiodactyla,Bovidae,Budorcas,Budorcas taxicolor,D4,NA,0,1,0,NA,0,D2,D2,NA,0,1,0,32,4,NA,2,0,0,0
78,Wild Goat,Cetartiodactyla,Bovidae,Capra,Capra aegagrus,E3,E4,1,2,1,E3,1,A1,E4,NA,0,1,2,3,5,68.75,2,1,1,0
79,Western Tur,Cetartiodactyla,Bovidae,Capra,Capra caucasica,E1,D2,1,2,0,NA,0,E1,E4,NA,0,1,0,32,3,115.5,2,0,1,0
80,Daghestan Tur,Cetartiodactyla,Bovidae,Capra,Capra cylindricornis,D2,D3,1,2,0,NA,1,A1,D5,NA,0,1,0,1,3,116.96,2,0,0,0
81,Markhor,Cetartiodactyla,Bovidae,Capra,Capra falconeri,D2,NA,0,1,0,NA,0,D2,D3,NA,0,1,0,3,3,50,2,1,1,1
82,Alpine Ibex,Cetartiodactyla,Bovidae,Capra,Capra ibex,E3,NA,0,1,0,NA,2,A1,E4,NA,0,1,0,2,3,111.11,2,0,1,0
83,Nubian Ibex,Cetartiodactyla,Bovidae,Capra,Capra nubiana,F2,NA,0,1,0,NA,1,A1,F4,NA,0,1,0,32,4,50,2,0,0,0
84,Iberian Wild Goat,Cetartiodactyla,Bovidae,Capra,Capra pyrenaica,E2,E5,1,2,1,E5,2,A1,E5,NA,0,1,0,3,NA,50,2,0,1,0
85,Siberian Ibex,Cetartiodactyla,Bovidae,Capra,Capra sibirica,E1,NA,0,1,0,A1,2,A1,E5,A1,1,2,3,32,3,120.93,2,1,0,0
86,Walia Ibex,Cetartiodactyla,Bovidae,Capra,Capra walie,F4,NA,0,1,1,D1,1,A1,D5,NA,0,1,1,2,2,NA,2,0,0,0
87,Japanese Serow,Cetartiodactyla,Bovidae,Capricornis,Capricornis crispus,B1,B2,1,2,0,NA,0,B2,B2,NA,0,1,0,3,1,0,1,0,0,0
88,Chinese Serow,Cetartiodactyla,Bovidae,Capricornis,Capricornis milneedwardsii,F5,NA,0,1,0,A1,0,F5,F5,NA,0,1,0,3,1,0,NA,0,0,0
89,Red Serow,Cetartiodactyla,Bovidae,Capricornis,Capricornis rubidus,G3,A1,1,2,0,NA,0,G4,G4,NA,0,1,0,2,NA,0,NA,0,0,0
90,Sumatran Serow,Cetartiodactyla,Bovidae,Capricornis,Capricornis sumatraensis,C5,NA,0,1,0,C3,0,C5,C5,NA,0,1,0,2,NA,0,NA,0,0,0
91,Formosan Serow,Cetartiodactyla,Bovidae,Capricornis,Capricornis swinhoei,E3,G1,1,3,0,NA,0,E3,E3,NA,0,1,0,3,2,0,NA,0,0,0
92,Himalayan Serow,Cetartiodactyla,Bovidae,Capricornis,Capricornis thar,C5,NA,0,1,0,G3,3,G4,G4,A1,2,2,0,3,3,0,NA,0,0,0
93,Aders' Duiker,Cetartiodactyla,Bovidae,Cephalophus,Cephalophus adersi,G3,F4,1,3,0,A1,0,G3,G3,A1,2,2,2,32,1,0,NA,1,0,0
94,Peter's Duiker,Cetartiodactyla,Bovidae,Cephalophus,Cephalophus callipygus,E2,NA,0,1,0,E5,0,E5,E5,NA,0,1,0,3,NA,NA,2,1,0,0
95,Bay Duiker,Cetartiodactyla,Bovidae,Cephalophus,Cephalophus dorsalis,F3,E5,2,2,0,E5,0,F3,E5,NA,0,1,0,1,1,NA,NA,1,0,0
96,Harvey's Red Duiker,Cetartiodactyla,Bovidae,Cephalophus,Cephalophus harveyi,G3,F5,2,2,0,NA,0,G3,G3,F5,0,1,0,3,1,0,NA,1,0,0
97,Jentink's Duiker ,Cetartiodactyla,Bovidae,Cephalophus,Cephalophus jentinki,C5,NA,0,1,0,C5,0,C2,C2,NA,0,1,0,1,1,0,NA,1,0,0
98,White-Bellied Duiker ,Cetartiodactyla,Bovidae,Cephalophus,Cephalophus leucogaster,G2,F4,1,2,0,F5,0,G2,F5,NA,0,1,2,3,1,-8,NA,1,0,0
99,Natal Red Duiker,Cetartiodactyla,Bovidae,Cephalophus,Cephalophus natalensis,G3,F4,1,2,0,NA,0,G3,G3,NA,0,1,0,3,1,0,NA,1,0,0
100,Black Duiker,Cetartiodactyla,Bovidae,Cephalophus,Cephalophus niger,E3,NA,0,1,0,NA,0,E5,E5,C1,2,2,0,2,1,NA,NA,1,0,0
101,Black-Fronted Duiker,Cetartiodactyla,Bovidae,Cephalophus,Cephalophus nigrifrons,G4,C5,2,2,0,NA,0,G4,G4,C1,2,2,0,3,1,NA,NA,1,0,0
102,Ogilby's Duiker,Cetartiodactyla,Bovidae,Cephalophus,Cephalophus ogilbyi,F3,NA,0,1,0,NA,0,G3,G3,C5,2,2,0,3,1,0,NA,1,0,0
103,Red-Flanked Duiker,Cetartiodactyla,Bovidae,Cephalophus,Cephalophus rufilatus,G3,E4,1,3,0,E4,0,G3,G3,E4,2,2,0,3,1,NA,1,1,0,0
104,Yellow-Backed Duiker,Cetartiodactyla,Bovidae,Cephalophus,Cephalophus silvicultor,C5,D1,1,2,0,G1,1,A1,C5,NA,0,1,0,4,1,0,1,1,0,0
105,Abbott's Duiker,Cetartiodactyla,Bovidae,Cephalophus,Cephalophus spadix,E4,D1,1,3,0,NA,0,E4,E4,NA,0,1,0,1,1,0,NA,1,0,0
106,Weyns' Duiker,Cetartiodactyla,Bovidae,Cephalophus,Cephalophus weynsi,G3,C4,3,3,0,C4,0,G3,G3,NA,0,1,0,3,2,0,NA,1,0,0
107,Zebra Duiker,Cetartiodactyla,Bovidae,Cephalophus,Cephalophus zebra,G3,C4,1,2,0,C5,0,G2,G2,NA,0,1,2,3,2,0,1,1,0,0
108,Black Wildebeest,Cetartiodactyla,Bovidae,Connochaetes,Connochaetes gnou,E5,NA,0,1,0,NA,0,E3,G1,NA,0,1,0,32,4,19.58,6,0,0,0
109,Blue Wildebeest,Cetartiodactyla,Bovidae,Connochaetes,Connochaetes taurinus,C5,C3,1,2,0,C5,0,C3,C5,NA,0,1,0,4,3,38.68,6,0,1,0
110,Tsessebe,Cetartiodactyla,Bovidae,Damaliscus,Damaliscus lunatus,E3,C5,1,2,0,NA,3,E1,E1,C5,2,2,0,4,2,NA,2,0,0,0
111,Bontebok,Cetartiodactyla,Bovidae,Damaliscus,Damaliscus pygargus,E4,A1,3,2,0,E4,3,A1,A1,C5,2,2,2,3,3,37.5,2,0,0,0
112,Beira,Cetartiodactyla,Bovidae,Dorcatragus,Dorcatragus megalotis,G2,A1,3,2,0,G1,0,D1,D1,NA,0,1,1,32,2,0,NA,0,0,0
113,Mongalla Gazelle,Cetartiodactyla,Bovidae,Eudorcas,Eudorcas albonotata,A1,G3,3,3,0,C5,2,A1,G2,C5,2,2,1,32,3,0,NA,0,0,0
114,Red-Fronted Gazelle,Cetartiodactyla,Bovidae,Eudorcas,Eudorcas rufifrons,G3,A1,3,2,0,G3,2,A1,C5,NA,0,1,1,2,2,0,2,0,0,0
115,Red Gazelle,Cetartiodactyla,Bovidae,Eudorcas,Eudorcas rufina,G2,G3,3,3,0,C5,2,A1,C5,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA
116,Thomson's Gazelle,Cetartiodactyla,Bovidae,Eudorcas,Eudorcas thomsonii,G3,G2,3,4,0,G2,2,A1,C5,NA,0,1,1,3,5,13.6,2,0,0,0
117,Arabian Gazelle,Cetartiodactyla,Bovidae,Gazella,Gazella arabica,G2,A1,3,2,0,A1,2,A1,C5,NA,0,1,2,NA,NA,NA,NA,0,NA,NA
118,Chinkara,Cetartiodactyla,Bovidae,Gazella,Gazella bennettii,E1,E2,3,2,0,A1,2,A1,C5,NA,0,1,2,1,2,0,4,0,0,0
119,Cuvier's Gazelle,Cetartiodactyla,Bovidae,Gazella,Gazella cuvieri,E1,E4,3,2,0,E4,2,A1,C5,NA,0,1,2,12,2,57.14,2,1,0,0
120,Dorcas Gazelle,Cetartiodactyla,Bovidae,Gazella,Gazella dorcas,G2,F4,3,3,0,F4,2,A1,C5,NA,0,1,2,12,2,0,2,1,0,0
121,Mountain Gazelle,Cetartiodactyla,Bovidae,Gazella,Gazella gazella,E2,A1,3,2,0,C5,2,A1,C5,NA,0,1,2,3,4,0,2,0,0,0
122,Slender-Horned Gazelle,Cetartiodactyla,Bovidae,Gazella,Gazella leptoceros,G2,G1,3,3,0,A1,2,A1,C5,NA,0,1,2,12,2,0,2,1,0,0
123,Speke's Gazelle,Cetartiodactyla,Bovidae,Gazella,Gazella spekei,G2,G1,3,4,0,E4,2,A1,C5,NA,0,1,2,2,3,0,NA,0,0,0
124,Goitered Gazelle,Cetartiodactyla,Bovidae,Gazella,Gazella subgutturosa,A1,G1,1,2,0,A1,2,A1,C5,NA,0,1,1,2,3,21.57,4,0,0,0
125,Himalayan Tahr,Cetartiodactyla,Bovidae,Hemitragus,Hemitragus jemlahicus,E4,NA,0,1,0,G1,0,E4,E4,NA,0,1,0,3,3,68.5,2,0,1,1
126,Roan Antelope,Cetartiodactyla,Bovidae,Hippotragus,Hippotragus equinus,C5,A1,3,3,0,NA,2,A1,C5,NA,0,1,0,3,3,8.08,2,1,0,0
127,Sable Antelope,Cetartiodactyla,Bovidae,Hippotragus,Hippotragus niger,E5,A1,2,2,0,NA,2,A1,E5,NA,0,1,3,32,3,20.59,2,1,1,1
128,Waterbuck,Cetartiodactyla,Bovidae,Kobus,Kobus ellipsiprymnus,E2,A1,3,2,0,NA,2,E2,E2,NA,0,1,0,2,3,54.41,NA,1,0,0
129,Kob,Cetartiodactyla,Bovidae,Kobus,Kobus kob,G2,A1,3,2,0,G3,2,A1,G2,A1,1,2,3,4,4,33.33,NA,0,0,0
130,Southern Lechwe,Cetartiodactyla,Bovidae,Kobus,Kobus leche,G3,A1,3,2,0,A1,2,A1,G3,C5,2,2,2,32,3,50,NA,1,1,1
131,Nile Lechwe,Cetartiodactyla,Bovidae,Kobus,Kobus megaceros,E3,E4,3,3,0,A1,2,A1,A1,C5,2,2,0,3,4,40,2,0,1,1
132,Puku,Cetartiodactyla,Bovidae,Kobus,Kobus vardonii,G2,A1,3,2,0,G3,0,G3,G2,NA,0,1,0,2,3,16.67,2,1,0,0
133,Gerenuk,Cetartiodactyla,Bovidae,Litocranius,Litocranius walleri,G2,A1,3,2,0,G3,2,A1,C5,NA,0,1,2,3,2,12.93,2,0,0,0
134,Guenther's Dik-Dik,Cetartiodactyla,Bovidae,Madoqua,Madoqua guentheri,D2,C5,3,3,0,A1,2,A1,D2,NA,0,1,2,3,2,-23,1,1,0,0
135,Kirk's Dik-Dik,Cetartiodactyla,Bovidae,Madoqua,Madoqua kirkii,G2,C5,3,3,0,G2,0,D2,D2,NA,0,1,2,4,2,NA,1,1,0,0
136,Silver Dik-Dik,Cetartiodactyla,Bovidae,Madoqua,Madoqua piacentinii,D2,G3,1,2,0,NA,0,D2,D2,NA,0,1,0,3,2,0,1,1,0,0
137,Salt's Dik-Dik,Cetartiodactyla,Bovidae,Madoqua,Madoqua saltiana,D2,G2,3,4,0,NA,0,D2,D2,NA,0,1,3,12,2,NA,1,0,0,0
138,Red Goral,Cetartiodactyla,Bovidae,Naemorhedus,Naemorhedus baileyi,G2,C4,1,2,0,NA,0,G2,G2,C5,2,2,0,3,2,0,NA,1,0,0
139,Long-Tailed Goral,Cetartiodactyla,Bovidae,Naemorhedus,Naemorhedus caudatus,C4,NA,0,1,0,NA,1,A1,C4,A1,2,2,0,4,2,5.8,2,0,0,0
140,Himalayan Goral,Cetartiodactyla,Bovidae,Naemorhedus,Naemorhedus goral,E2,NA,0,1,0,NA,1,A1,E3,NA,0,1,0,2,2,0,2,0,0,0
141,Chinese Goral,Cetartiodactyla,Bovidae,Naemorhedus,Naemorhedus griseus,C3,NA,0,1,0,NA,1,A1,C5,NA,0,1,0,2,2,0,NA,1,0,0
142,Dama Gazelle,Cetartiodactyla,Bovidae,Nanger,Nanger dama,F3,A1,3,2,0,A1,3,A1,A1,NA,0,1,1,3,3,15.38,2,0,0,0
143,Grant's Gazelle,Cetartiodactyla,Bovidae,Nanger,Nanger granti,G1,C5,3,3,0,A1,3,A1,C5,A1,2,2,2,4,3,32.86,2,0,0,2
144,Soemmerring's Gazelle,Cetartiodactyla,Bovidae,Nanger,Nanger soemmerringii,G1,F4,3,3,0,A1,3,A1,C5,A1,2,2,1,3,3,0,NA,0,0,0
145,Bate's Pygmy Antelope,Cetartiodactyla,Bovidae,Neotragus,Neotragus batesi,F3,G3,1,2,0,A1,0,F3,F3,NA,0,1,3,2,1,-20.5,NA,0,0,0
146,Royal Antelope,Cetartiodactyla,Bovidae,Neotragus,Neotragus pygmaeus,F3,F4,1,2,0,F3,2,A1,F3,A1,1,2,2,1,2,0,1,0,0,0
